ministry,ministry_number,ministry_party,ministry_title,uniqueID,ministry_name,ministry_from,ministry_to,ministry_assistant_minister_or_parliamentary_secretary,ministry_comment
Menzies,29,LIB-CP Coalition,Minister for Shipping and Fuel,McLeay1892,"McLeay, Senator G",1949-12-19,1950-03-17,,
Menzies,29,LIB-CP Coalition,"Minister for Fuel, Shipping and Transport",McLeay1892,"McLeay, Senator G",1950-03-17,1951-05-11,,
Menzies,29,LIB-CP Coalition,Minister for Air,White1888,"White, TW",1949-12-19,1951-05-11,,
Menzies,29,LIB-CP Coalition,Minister for Civil Aviation,White1888,"White, TW",1949-12-19,1951-05-11,,
Menzies,29,LIB-CP Coalition,Postmaster-General,Anthony1897,"Anthony, HL (CP)",1949-12-19,1951-05-11,,
Menzies,29,LIB-CP Coalition,Minister for the Army,Francis1890,"Francis, J",1949-12-19,1951-05-11,,
Menzies,29,LIB-CP Coalition,Minister for the Navy,Francis1890,"Francis, J",1949-12-19,1951-05-11,,
Menzies,29,LIB-CP Coalition,Attorney-General,Spicer1899,"Spicer, Senator JA",1949-12-19,1951-05-11,,
Menzies,29,LIB-CP Coalition,Vice-President of Executive Council,Lyons1897,"Lyons, EM",1949-12-19,1951-03-07,,
Menzies,29,LIB-CP Coalition,Vice-President of Executive Council,Menzies1894,"Menzies, RG",1951-03-07,1951-05-11,,
Menzies,29,LIB-CP Coalition,Minister for Social Services,Spooner1897,"Spooner, Senator WH",1949-12-19,1951-05-11,,
Menzies,29,LIB-CP Coalition,Minister for Repatriation,Cooper1888,"Cooper, Senator WJ (CP)",1949-12-19,1951-05-11,,
Menzies,29,LIB-CP Coalition,Minister for Information,Beale1898,"Beale, OH",1949-12-19,1951-05-11,,
Menzies,29,LIB-CP Coalition,Minister for Transport,Beale1898,"Beale, OH",1949-12-19,1950-03-17,,
Menzies,30,LIB-CP Coalition,Prime Minister,Menzies1894,"Menzies, RG",1951-05-11,1956-01-11,,
Menzies,30,LIB-CP Coalition,Treasurer,Fadden1894,"Fadden, AW (CP)",1951-05-11,1956-01-11,,
Menzies,30,LIB-CP Coalition,Vice-President of Executive Council,Harrison1892,"Harrison, EJ",1951-05-11,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister for Defence Production,Harrison1892,"Harrison, EJ",1951-05-11,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister for Labour and National Service,Holt1908,"Holt, HE",1951-05-11,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister for Immigration,Holt1908,"Holt, HE",1951-05-11,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister for Commerce and Agriculture,McEwen1900,"McEwen, J (CP)",1951-05-11,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister for External Affairs,Casey1890,"Casey, RG",1951-05-11,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister in charge of Commonwealth and Industrial Research,Casey1890,"Casey, RG",1951-05-11,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister for Defence,McBride1892,"McBride, PAM",1951-05-11,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister for the Navy,McBride1892,"McBride, PAM",1951-05-11,1951-07-17,,
Menzies,30,LIB-CP Coalition,Minister for the Navy,McMahon1908,"McMahon, W",1951-07-17,1954-07-09,,
Menzies,30,LIB-CP Coalition,Minister for the Navy,Francis1890,"Francis, J",1954-07-09,1955-11-07,,
Menzies,30,LIB-CP Coalition,Minister for the Navy,Harrison1892,"Harrison, EJ",1955-11-07,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister for Air,McBride1892,"McBride, PAM",1951-05-11,1951-07-17,,
Menzies,30,LIB-CP Coalition,Minister for Air,McMahon1908,"McMahon, W",1951-07-17,1954-07-09,,
Menzies,30,LIB-CP Coalition,Minister for Air,Townley1907,"Townley, AG",1954-07-09,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister for Health,Page1880,"Page, ECG (CP)",1951-05-11,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister for Trade and Customs,OSullivan1900,"O'Sullivan, Senator N",1951-05-11,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister for Trade and Customs,Harrison1892,"Harrison, EJ",1955-11-07,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister for Shipping and Transport,McLeay1892,"McLeay, Senator G",1951-05-11,1955-09-14,,
Menzies,30,LIB-CP Coalition,Minister for Shipping and Transport,Spicer1899,"Spicer, Senator JA",1955-09-14,1955-09-27,,
Menzies,30,LIB-CP Coalition,Minister for Shipping and Transport,Paltridge1910,"Paltridge, Senator SD",1955-09-27,1956-01-11,,
Menzies,30,LIB-CP Coalition,Postmaster-General,Anthony1897,"Anthony, HL (CP)",1951-05-11,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister for Civil Aviation,Anthony1897,"Anthony, HL (CP)",1951-05-11,1954-07-09,,
Menzies,30,LIB-CP Coalition,Minister for Civil Aviation,Townley1907,"Townley, AG",1954-07-09,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister for the Army,Francis1890,"Francis, J",1951-05-11,1955-11-07,,
Menzies,30,LIB-CP Coalition,Minister for the Army,Harrison1892,"Harrison, EJ",1955-11-07,1956-01-11,,
Menzies,30,LIB-CP Coalition,Attorney-General,Spicer1899,"Spicer, Senator JA",1951-05-11,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister for National Development,Spooner1897,"Spooner, Senator WH",1951-05-11,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister for Repatriation,Cooper1888,"Cooper, Senator WJ (CP)",1951-05-11,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister for Supply,Beale1898,"Beale, OH",1951-05-11,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister for the Interior,KentHughes1895,"Kent Hughes, WS",1951-05-11,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister for Works and Housing,KentHughes1895,"Kent Hughes, WS",1951-05-11,1952-06-04,,
Menzies,30,LIB-CP Coalition,Minister for Works,KentHughes1895,"Kent Hughes, WS",1952-06-04,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister for Social Services,Townley1907,"Townley, AG",1951-05-11,1954-07-09,,
Menzies,30,LIB-CP Coalition,Minister for Social Services,McMahon1908,"McMahon, W",1954-07-09,1956-01-11,,
Menzies,30,LIB-CP Coalition,Minister for Territories,Hasluck1905,"Hasluck, PMC",1951-05-11,1956-01-11,,
Menzies,31,LIB-CP Coalition,Prime Minister,Menzies1894,"Menzies, RG",1956-01-11,1958-12-10,,
Menzies,31,LIB-CP Coalition,Treasurer,Fadden1894,"Fadden, AW (CP)",1956-01-11,1958-12-10,,
Menzies,31,LIB-CP Coalition,Vice-President of Executive Council,Harrison1892,"Harrison, EJ",1956-01-11,1956-10-24,,
Menzies,31,LIB-CP Coalition,Vice-President of Executive Council,OSullivan1900,"O'Sullivan, Senator N",1956-10-24,1958-12-10,,
Menzies,31,LIB-CP Coalition,Minister for Defence Production,Harrison1892,"Harrison, EJ",1956-01-11,1956-10-24,,
Menzies,31,LIB-CP Coalition,Minister for Defence Production,Beale1898,"Beale, OH",1956-10-24,1958-02-10,,
Menzies,31,LIB-CP Coalition,Minister for Defence Production,Townley1907,"Townley, AG",1958-02-11,1958-04-23,,
Menzies,31,LIB-CP Coalition,Minister for the Army,Harrison1892,"Harrison, EJ",1956-01-11,1956-02-28,,
Menzies,31,LIB-CP Coalition,Minister for the Army,Cramer1897,"Cramer, JO",1956-02-28,1958-12-10,,
Menzies,31,LIB-CP Coalition,Minister for Labour and National Service,Holt1908,"Holt, HE",1956-01-11,1958-12-10,,
Menzies,31,LIB-CP Coalition,Minister for Immigration,Holt1908,"Holt, HE",1956-01-11,1956-10-24,,
Menzies,31,LIB-CP Coalition,Minister for Immigration,Townley1907,"Townley, AG",1956-10-24,1958-03-19,,
Menzies,31,LIB-CP Coalition,Minister for Immigration,Downer1910,"Downer, AR",1958-03-20,1958-12-10,,
Menzies,31,LIB-CP Coalition,Minister for Trade,McEwen1900,"McEwen, J (CP)",1956-01-11,1958-12-10,,
Menzies,31,LIB-CP Coalition,Minister for External Affairs,Casey1890,"Casey, RG",1956-01-11,1958-12-10,,
Menzies,31,LIB-CP Coalition,Minister in charge of Commonwealth Scientific and Industrial Research,Casey1890,"Casey, RG",1956-01-11,1958-12-10,,
Menzies,31,LIB-CP Coalition,Minister for Defence,McBride1892,"McBride, PAM",1956-01-11,1958-12-10,,
Menzies,31,LIB-CP Coalition,Minister for the Navy,OSullivan1900,"O'Sullivan, Senator N",1956-01-11,1956-10-24,,
Menzies,31,LIB-CP Coalition,Minister for the Navy,Davidson1897,"Davidson, CW (CP)",1956-10-24,1958-12-10,,
Menzies,31,LIB-CP Coalition,Attorney-General,Spicer1899,"Spicer, Senator JA",1956-01-11,1956-08-14,,
Menzies,31,LIB-CP Coalition,Attorney-General,OSullivan1900,"O'Sullivan, Senator N",1956-08-15,1958-12-10,,
Menzies,31,LIB-CP Coalition,Minister for National Development,Spooner1897,"Spooner, Senator WH",1956-01-11,1958-12-10,,
Menzies,31,LIB-CP Coalition,Minister for Air,Townley1907,"Townley, AG",1956-01-11,1956-10-24,,
Menzies,31,LIB-CP Coalition,Minister for Air,Osborne1909,"Osborne, FM",1956-10-24,1958-12-10,,
Menzies,31,LIB-CP Coalition,Minister for Civil Aviation,Townley1907,"Townley, AG",1956-01-11,1956-10-24,,
Menzies,31,LIB-CP Coalition,Minister for Civil Aviation,Paltridge1910,"Paltridge, Senator SD",1956-10-24,1958-12-10,,
Menzies,31,LIB-CP Coalition,Minister for Territories,Hasluck1905,"Hasluck, PMC",1956-01-11,1958-12-10,,
Menzies,31,LIB-CP Coalition,Minister for Repatriation,Cooper1888,"Cooper, Senator WJ (CP)",1956-01-11,1958-12-10,,
Menzies,31,LIB-CP Coalition,Minister for Supply,Beale1898,"Beale, OH",1956-01-11,1958-02-10,,
Menzies,31,LIB-CP Coalition,Minister for Supply,Townley1907,"Townley, AG",1958-02-11,1958-12-10,,
Menzies,31,LIB-CP Coalition,Minister for Primary Industry,McMahon1908,"McMahon, W",1956-01-11,1958-12-10,,
Menzies,31,LIB-CP Coalition,Minister for Social Services,McMahon1908,"McMahon, W",1956-01-11,1956-02-28,,
Menzies,31,LIB-CP Coalition,Minister for Social Services,Roberton1900,"Roberton, HS (CP)",1956-02-28,1958-12-10,,
Menzies,31,LIB-CP Coalition,Minister for Shipping and Transport,Paltridge1910,"Paltridge, Senator SD",1956-01-11,1958-12-10,,
Menzies,31,LIB-CP Coalition,Minister for Health,Cameron1900,"Cameron, DA",1956-01-11,1958-12-10,,
Menzies,31,LIB-CP Coalition,Postmaster-General,Davidson1897,"Davidson, CW (CP)",1956-01-11,1958-12-10,,
Menzies,31,LIB-CP Coalition,Minister for Customs and Excise,Osborne1909,"Osborne, FM",1956-01-11,1956-10-24,,
Menzies,31,LIB-CP Coalition,Minister for Customs and Excise,Henty1903,"Henty, Senator NHD",1956-10-24,1958-12-10,,
Menzies,31,LIB-CP Coalition,Minister for the Interior,Fairhall1909,"Fairhall, A",1956-01-11,1958-12-10,,
Menzies,31,LIB-CP Coalition,Minister for Works,Fairhall1909,"Fairhall, A",1956-01-11,1958-12-10,,
Menzies,32,LIB-CP Coalition,Prime Minister,Menzies1894,"Menzies, RG",1958-12-10,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister for Trade,McEwen1900,"McEwen, J (CP)",1958-12-10,1963-12-18,,
Menzies,32,LIB-CP Coalition,Treasurer,Holt1908,"Holt, HE",1958-12-10,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister for External Affairs,Casey1890,"Casey, RG",1958-12-10,1960-02-04,,
Menzies,32,LIB-CP Coalition,Minister for External Affairs,Menzies1894,"Menzies, RG",1960-02-04,1961-12-22,,
Menzies,32,LIB-CP Coalition,Minister for External Affairs,Barwick1903,"Barwick, GEJ",1961-12-22,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister in charge of Commonwealth Scientific and Industrial Research,Casey1890,"Casey, RG",1958-12-10,1960-02-04,,
Menzies,32,LIB-CP Coalition,Minister in charge of Commonwealth Scientific and Industrial Research,Cameron1900,"Cameron, DA",1960-02-04,1961-12-22,,
Menzies,32,LIB-CP Coalition,Minister in charge of Commonwealth Scientific and Industrial Research,Menzies1894,"Menzies, RG",1961-12-22,1962-02-16,,
Menzies,32,LIB-CP Coalition,Minister in charge of Commonwealth Scientific and Industrial Research,Gorton1911,"Gorton, Senator JG",1962-02-16,1963-12-18,,
Menzies,32,LIB-CP Coalition,Vice-President of Executive Council,Spooner1897,"Spooner, WH",1958-12-10,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister for National Development,Spooner1897,"Spooner, WH",1958-12-10,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister for Defence,Townley1907,"Townley, AG",1958-12-10,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister for Territories,Hasluck1905,"Hasluck, PMC",1958-12-10,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister for Labour and National Service,McMahon1908,"McMahon, W",1958-12-10,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister for Civil Aviation,Paltridge1910,"Paltridge, Senator SD",1958-12-10,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister for Shipping and Transport,Paltridge1910,"Paltridge, Senator SD",1958-12-10,1960-02-05,,
Menzies,32,LIB-CP Coalition,Minister for Shipping and Transport,Opperman1904,"Opperman, HF",1960-02-05,1963-12-18,,
Menzies,32,LIB-CP Coalition,Postmaster-General,Davidson1897,"Davidson, CW (CP)",1958-12-10,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister for Immigration,Downer1910,"Downer, AR",1958-12-10,1963-12-18,,
Menzies,32,LIB-CP Coalition,Attorney-General,Barwick1903,"Barwick, GEJ",1958-12-10,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister for Repatriation,Cooper1888,"Cooper, Senator WJ",1958-12-10,1960-12-29,,
Menzies,32,LIB-CP Coalition,Minister for Repatriation,Osborne1909,"Osborne, FM",1960-12-29,1961-12-22,,
Menzies,32,LIB-CP Coalition,Minister for Repatriation,Swartz1911,"Swartz, RWC",1961-12-22,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister for Health,Cameron1900,"Cameron, DA",1958-12-10,1961-12-22,,
Menzies,32,LIB-CP Coalition,Minister for Health,Wade1905,"Wade, Senator HW (CP)",1961-12-22,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister for the Army,Cramer1897,"Cramer, JO",1958-12-10,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister for Air,Osborne1909,"Osborne, FM",1958-12-10,1960-12-29,,
Menzies,32,LIB-CP Coalition,Minister for Air,Wade1905,"Wade, Senator HW (CP)",1960-12-29,1961-12-22,,
Menzies,32,LIB-CP Coalition,Minister for Air,Bury1913,"Bury, LHE",1961-12-22,1962-07-27,,
Menzies,32,LIB-CP Coalition,Minister for Air,Fairbairn1917,"Fairbairn, DE",1962-08-04,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister for Social Services,Roberton1900,"Roberton, HS (CP)",1958-12-10,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister for Customs and Excise,Henty1903,"Henty, Senator NHD",1958-12-10,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister for Primary Industry,Adermann1896,"Adermann, CF (CP)",1958-12-10,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister for Supply,Hulme1907,"Hulme, AS",1958-12-10,1961-12-22,,
Menzies,32,LIB-CP Coalition,Minister for Supply,Fairhall1909,"Fairhall, A",1961-12-22,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister for the Interior,Freeth1914,"Freeth, G",1958-12-10,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister for Works,Freeth1914,"Freeth, G",1958-12-10,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister for the Navy,Gorton1911,"Gorton, Senator JG",1958-12-10,1963-12-18,,
Menzies,32,LIB-CP Coalition,Minister assisting the Treasurer,Bury1913,"Bury, LH",1961-12-22,1962-07-27,1,
Menzies,32,LIB-CP Coalition,Minister assisting the Minister for External Affairs,Gorton1911,"Gorton, Senator JG",1960-03-23,1963-12-18,1,
Menzies,32,LIB-CP Coalition,Minister assisting the Attorney-General,Freeth1914,"Freeth, G",1961-12-22,1963-12-18,1,
Menzies,33,LIB-CP Coalition,Prime Minister,Menzies1894,"Menzies, RG",1963-12-18,1966-01-26,,
Menzies,33,LIB-CP Coalition,Minister for Trade and Industry,McEwen1900,"McEwen, J (CP)",1963-12-18,1966-01-26,,
Menzies,33,LIB-CP Coalition,Treasurer,Holt1908,"Holt, HE",1963-12-18,1966-01-26,,
Menzies,33,LIB-CP Coalition,Vice-President of Executive Council,Spooner1897,"Spooner, Senator WH",1963-12-18,1964-06-10,,
Menzies,33,LIB-CP Coalition,Vice-President of Executive Council,McMahon1908,"McMahon, W",1964-06-10,1966-01-26,,
Menzies,33,LIB-CP Coalition,Minister for National Development,Spooner1897,"Spooner, Senator WH",1963-12-18,1964-06-10,,
Menzies,33,LIB-CP Coalition,Minister for National Development,Fairbairn1917,"Fairbairn, DE",1964-06-10,1966-01-26,,
Menzies,33,LIB-CP Coalition,Minister for Defence,Hasluck1905,"Hasluck, PMC",1963-12-18,1964-04-24,,
Menzies,33,LIB-CP Coalition,Minister for Defence,Paltridge1910,"Paltridge, Senator SD",1964-04-24,1966-01-19,,
Menzies,33,LIB-CP Coalition,Minister for Labour and National Service,McMahon1908,"McMahon, W",1963-12-18,1966-01-26,,
Menzies,33,LIB-CP Coalition,Minister for External Affairs,Barwick1903,"Barwick, GEJ",1963-12-18,1964-04-24,,
Menzies,33,LIB-CP Coalition,Minister for External Affairs,Hasluck1905,"Hasluck, PMC",1964-04-24,1966-01-26,,
Menzies,33,LIB-CP Coalition,Attorney-General,Barwick1903,"Barwick, GEJ",1963-12-18,1964-03-04,,
Menzies,33,LIB-CP Coalition,Attorney-General,Snedden1926,"Snedden, BM",1964-03-04,1966-01-26,,
Menzies,33,LIB-CP Coalition,Minister for Primary Industry,Adermann1896,"Adermann, CF (CP)",1963-12-18,1966-01-26,,
Menzies,33,LIB-CP Coalition,Minister for Civil Aviation,Paltridge1910,"Paltridge, Senator SD",1963-12-18,1964-06-10,,
Menzies,33,LIB-CP Coalition,Minister for Civil Aviation,Henty1903,"Henty, Senator NHD",1964-06-10,1966-01-26,,
Menzies,33,LIB-CP Coalition,Minister for Health,Wade1905,"Wade, Senator HW (CP)",1963-12-18,1964-11-18,,
Menzies,33,LIB-CP Coalition,Minister for Health,Swartz1911,"Swartz, RWC",1964-11-21,1966-01-26,,
Menzies,33,LIB-CP Coalition,Minister for Supply,Fairhall1909,"Fairhall, A",1963-12-18,1966-01-26,,
Menzies,33,LIB-CP Coalition,Minister for Customs and Excise,Henty1903,"Henty, Senator NHD",1963-12-18,1964-06-10,,
Menzies,33,LIB-CP Coalition,Minister for Customs and Excise,Anderson1909,"Anderson, Senator KMcC",1964-06-10,1966-01-26,,
Menzies,33,LIB-CP Coalition,Minister for Works,Gorton1911,"Gorton, Senator JG",1963-12-18,1966-01-26,,
Menzies,33,LIB-CP Coalition,Minister for the Interior,Gorton1911,"Gorton, Senator JG",1963-12-18,1964-03-04,,
Menzies,33,LIB-CP Coalition,Minister for the Interior,Anthony1929,"Anthony, JD",1964-03-04,1966-01-26,,
Menzies,33,LIB-CP Coalition,Minister for Shipping and Transport,Freeth1914,"Freeth, G",1963-12-18,1966-01-26,,
Menzies,33,LIB-CP Coalition,Postmaster-General,Hulme1907,"Hulme, AS",1963-12-18,1966-01-26,,
Menzies,33,LIB-CP Coalition,Minister for Immigration,Opperman1904,"Opperman, HF",1963-12-18,1966-01-26,,
Menzies,33,LIB-CP Coalition,Minister for Social Services,Roberton1900,"Roberton, HS (CP)",1963-12-18,1965-01-21,,
Menzies,33,LIB-CP Coalition,Minister for Social Services,Swartz1911,"Swartz, RWC",1965-01-21,1965-02-22,,
Menzies,33,LIB-CP Coalition,Minister for Social Services,Sinclair1929,"Sinclair, IMcC (CP)",1965-02-22,1966-01-26,,
Menzies,33,LIB-CP Coalition,Minister for Repatriation,Swartz1911,"Swartz, RWC",1963-12-18,1964-12-22,,
Menzies,33,LIB-CP Coalition,Minister for Repatriation,McKellar1903,"McKellar, Senator GC",1964-12-22,1966-01-26,,
Menzies,33,LIB-CP Coalition,Minister for Air,Fairbairn1917,"Fairbairn, DE",1963-12-18,1964-06-10,,
Menzies,33,LIB-CP Coalition,Minister for Air,Howson1919,"Howson, P",1964-06-10,1966-01-26,,
Menzies,33,LIB-CP Coalition,Minister for Territories,Barnes1901,"Barnes, CE (CP)",1963-12-18,1966-01-26,,
Menzies,33,LIB-CP Coalition,Minister for Housing,Bury1913,"Bury, LHE",1963-12-18,1966-01-26,,
Menzies,33,LIB-CP Coalition,Minister for the Army,Forbes1923,"Forbes, AJ",1963-12-18,1966-01-26,,
Menzies,33,LIB-CP Coalition,Minister for the Navy,Forbes1923,"Forbes, AJ",1963-12-18,1964-03-04,,
Menzies,33,LIB-CP Coalition,Minister for the Navy,Chaney1914,"Chaney, FC",1964-03-04,1966-01-26,,
Menzies,33,LIB-CP Coalition,Minister in charge of Commonwealth Activities in Education and Research under the Prime Minister,Gorton1911,"Gorton, Senator JG",1963-12-18,1966-01-26,1,
Menzies,33,LIB-CP Coalition,Minister assisting the Treasurer,Forbes1923,"Forbes, AJ",1963-12-18,1966-01-26,1,
Holt,34,LIB-CP Coalition,Prime Minister,Holt1908,"Holt, HE",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister for Trade and Industry,McEwen1900,"McEwen, J (CP)",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Treasurer,McMahon1908,"McMahon, W",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister for External Affairs,Hasluck1905,"Hasluck, PMC",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister for Primary Industry,Adermann1896,"Adermann, CF (CP)",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister for Defence,Fairhall1909,"Fairhall, A",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister for Supply,Henty1903,"Henty, Senator NHD",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Postmaster-General,Hulme1907,"Hulme, AS",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Vice-President of Executive Council,Hulme1907,"Hulme, AS",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister for National Development,Fairbairn1917,"Fairbairn, DE",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister for Territories,Barnes1901,"Barnes, CE (CP)",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister for Works,Gorton1911,"Gorton, Senator JG",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister for Labour and National Service,Bury1913,"Bury, LHE",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister for Shipping and Transport,Freeth1914,"Freeth, G",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister for Immigration,Opperman1904,"Opperman, HF",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister for Civil Aviation,Swartz1911,"Swartz, RWC",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Attorney-General,Snedden1926,"Snedden, BM",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister for Health,Forbes1923,"Forbes, AJ",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister for the Interior,Anthony1929,"Anthony, JD",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister for the Navy,Chaney1914,"Chaney, FC",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister for Air,Howson1919,"Howson, P",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister for Customs and Excise,Anderson1909,"Anderson, Senator KMcC",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister for Repatriation,McKellar1903,"McKellar, Senator GC",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister for Social Services,Sinclair1929,"Sinclair, IMcC (CP)",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister for Housing,Rankin1908,"Rankin, Senator AJM",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister for the Army,Fraser1889,"Fraser, JM",1966-01-26,1966-12-14,,
Holt,34,LIB-CP Coalition,Minister in charge of Commonwealth Activities in Education and Research under the Prime Minister,Gorton1911,"Gorton, Senator JG",1966-01-26,1966-12-14,1,
Holt,34,LIB-CP Coalition,Minister assisting the Treasurer,Howson1919,"Howson, P",1966-01-26,1966-12-14,1,
Holt,35,LIB-CP Coalition,Prime Minister,Holt1908,"Holt, HE",1966-12-14,1967-12-19,,
Holt,35,LIB-CP Coalition,Minister for Trade and Industry,McEwen1900,"McEwen, J (CP)",1966-12-14,1967-12-19,,
Holt,35,LIB-CP Coalition,Treasurer,McMahon1908,"McMahon, W",1966-12-14,1967-12-19,,
Holt,35,LIB-CP Coalition,Minister for External Affairs,Hasluck1905,"Hasluck, PMC",1966-12-14,1967-12-19,,
Holt,35,LIB-CP Coalition,Minister for Defence,Fairhall1909,"Fairhall, A",1966-12-14,1967-12-19,,
Holt,35,LIB-CP Coalition,Minister for the Interior,Anthony1929,"Anthony, JD (CP)",1966-12-14,1967-10-16,,
Holt,35,LIB-CP Coalition,Minister for the Interior,Nixon1928,"Nixon, PJ (CP)",1967-10-16,1967-12-19,,
Holt,35,LIB-CP Coalition,Minister for Supply,Henty1903,"Henty, Senator NHD",1966-12-14,1967-12-19,,
Holt,35,LIB-CP Coalition,Minister for Primary Industry,Adermann1896,"Adermann, CF (CP)",1966-12-14,1967-10-16,,
Holt,35,LIB-CP Coalition,Minister for Primary Industry,Anthony1929,"Anthony, JD (CP)",1967-10-16,1967-12-19,,
Holt,35,LIB-CP Coalition,Postmaster-General,Hulme1907,"Hulme, AS",1966-12-14,1967-12-19,,
Holt,35,LIB-CP Coalition,Vice-President of Executive Council,Hulme1907,"Hulme, AS",1966-12-14,1967-12-19,,
Holt,35,LIB-CP Coalition,Minister for National Development,Fairbairn1917,"Fairbairn, DE",1966-12-14,1967-12-19,,
Holt,35,LIB-CP Coalition,Minister for Education and Science,Gorton1911,"Gorton, Senator JG",1966-12-14,1967-12-19,,
Holt,35,LIB-CP Coalition,Minister for Works,Gorton1911,"Gorton, Senator JG",1966-12-14,1967-02-28,,
Holt,35,LIB-CP Coalition,Minister for Works,Kelly1912,"Kelly, CR",1967-02-28,1967-12-19,,
Holt,35,LIB-CP Coalition,Minister for Labour and National Service,Bury1913,"Bury, LHE",1966-12-14,1967-12-19,,
Holt,35,LIB-CP Coalition,Minister for Shipping and Transport,Freeth1914,"Freeth, G",1966-12-14,1967-12-19,,
Holt,35,LIB-CP Coalition,Minister for Territories,Barnes1901,"Barnes, CE (CP)",1966-12-14,1967-12-19,,
Holt,35,LIB-CP Coalition,Minister for Civil Aviation,Swartz1911,"Swartz, RWC",1966-12-14,1967-12-19,,
Holt,35,LIB-CP Coalition,Minister for Immigration,Snedden1926,"Snedden, BM",1966-12-14,1967-12-19,,
Holt,35,LIB-CP Coalition,Minister for Health,Forbes1923,"Forbes, AJ",1966-12-14,1967-12-19,,
Holt,35,LIB-CP Coalition,Minister for Air,Howson1919,"Howson, P",1966-12-14,1967-12-19,,
Holt,35,LIB-CP Coalition,Minister for Customs and Excise,Anderson1909,"Anderson, Senator McC",1966-12-14,1967-12-19,,
